U 16 | F 262144 | FPS 0426 | D 741 | rR:μσmM 0.61 0.49 0.00 1.00 | ARPS: 0.006 | ADR: 0.030 | F:μσmM 497.6 412.7 30.0 1000.0 | H 1.890 | V 0.029 | pL -0.000 | vL 0.006 | ∇ 0.026
U 17 | F 278528 | FPS 0453 | D 777 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.006 | ADR: 0.026 | F:μσmM 602.8 438.3 39.0 1000.0 | H 1.893 | V 0.021 | pL 0.003 | vL 0.004 | ∇ 0.020
U 18 | F 294912 | FPS 0451 | D 813 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.008 | ADR: 0.049 | F:μσmM 546.6 455.5 19.0 1000.0 | H 1.890 | V 0.028 | pL 0.003 | vL 0.005 | ∇ 0.024
U 19 | F 311296 | FPS 0456 | D 849 | rR:μσmM 0.55 0.50 0.00 1.00 | ARPS: 0.011 | ADR: 0.073 | F:μσmM 487.5 465.9 26.0 1000.0 | H 1.882 | V 0.025 | pL 0.001 | vL 0.005 | ∇ 0.024
U 20 | F 327680 | FPS 0455 | D 885 | rR:μσmM 0.36 0.48 0.00 1.00 | ARPS: 0.006 | ADR: 0.038 | F:μσmM 672.0 438.5 31.0 1000.0 | H 1.908 | V 0.019 | pL 0.005 | vL 0.003 | ∇ 0.014
U 21 | F 344064 | FPS 0473 | D 920 | rR:μσmM 0.40 0.49 0.00 1.00 | ARPS: 0.007 | ADR: 0.041 | F:μσmM 633.4 450.1 31.0 1000.0 | H 1.907 | V 0.019 | pL 0.004 | vL 0.003 | ∇ 0.016
U 22 | F 360448 | FPS 0459 | D 956 | rR:μσmM 0.57 0.50 0.00 1.00 | ARPS: 0.012 | ADR: 0.084 | F:μσmM 480.4 456.3 16.0 1000.0 | H 1.904 | V 0.028 | pL -0.001 | vL 0.006 | ∇ 0.025
U 23 | F 376832 | FPS 0479 | D 990 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.009 | ADR: 0.072 | F:μσmM 712.4 435.3 16.0 1000.0 | H 1.913 | V 0.020 | pL 0.009 | vL 0.002 | ∇ 0.013
U 24 | F 393216 | FPS 0458 | D 1025 | rR:μσmM 0.41 0.49 0.00 1.00 | ARPS: 0.007 | ADR: 0.046 | F:μσmM 625.6 448.6 19.0 1000.0 | H 1.901 | V 0.020 | pL 0.002 | vL 0.004 | ∇ 0.017
U 25 | F 409600 | FPS 0480 | D 1060 | rR:μσmM 0.55 0.50 0.00 1.00 | ARPS: 0.015 | ADR: 0.125 | F:μσmM 479.4 475.6 17.0 1000.0 | H 1.895 | V 0.019 | pL -0.004 | vL 0.006 | ∇ 0.023
U 26 | F 425984 | FPS 0460 | D 1095 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.012 | ADR: 0.093 | F:μσmM 562.7 470.4 15.0 1000.0 | H 1.896 | V 0.015 | pL -0.002 | vL 0.004 | ∇ 0.018
U 27 | F 442368 | FPS 0462 | D 1131 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.013 | ADR: 0.092 | F:μσmM 513.1 458.9 10.0 1000.0 | H 1.886 | V 0.021 | pL -0.001 | vL 0.005 | ∇ 0.023
U 28 | F 458752 | FPS 0456 | D 1167 | rR:μσmM 0.57 0.50 0.00 1.00 | ARPS: 0.012 | ADR: 0.082 | F:μσmM 483.0 454.0 14.0 1000.0 | H 1.886 | V 0.022 | pL -0.001 | vL 0.005 | ∇ 0.023
U 29 | F 475136 | FPS 0449 | D 1203 | rR:μσmM 0.67 0.47 0.00 1.00 | ARPS: 0.014 | ADR: 0.094 | F:μσmM 375.2 442.4 16.0 1000.0 | H 1.870 | V 0.032 | pL -0.011 | vL 0.009 | ∇ 0.030
U 30 | F 491520 | FPS 0479 | D 1237 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.128 | F:μσmM 499.3 472.9 9.0 1000.0 | H 1.887 | V 0.024 | pL 0.001 | vL 0.006 | ∇ 0.022
U 31 | F 507904 | FPS 0480 | D 1271 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.008 | ADR: 0.065 | F:μσmM 711.0 437.1 17.0 1000.0 | H 1.905 | V 0.015 | pL 0.005 | vL 0.002 | ∇ 0.014
U 32 | F 524288 | FPS 0486 | D 1305 | rR:μσmM 0.38 0.49 0.00 1.00 | ARPS: 0.009 | ADR: 0.073 | F:μσmM 634.0 463.1 23.0 1000.0 | H 1.904 | V 0.016 | pL 0.002 | vL 0.003 | ∇ 0.016
U 33 | F 540672 | FPS 0476 | D 1340 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.009 | ADR: 0.071 | F:μσmM 597.1 465.9 23.0 1000.0 | H 1.901 | V 0.019 | pL 0.002 | vL 0.004 | ∇ 0.019
U 34 | F 557056 | FPS 0474 | D 1374 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.009 | ADR: 0.056 | F:μσmM 548.8 467.4 25.0 1000.0 | H 1.891 | V 0.017 | pL -0.003 | vL 0.005 | ∇ 0.020
