U 16 | F 262144 | FPS 0387 | D 733 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.005 | ADR: 0.023 | F:μσmM 598.5 406.3 35.0 1000.0 | H 1.913 | V 0.015 | pL -0.007 | vL 0.005 | ∇ 0.023
U 17 | F 278528 | FPS 0415 | D 773 | rR:μσmM 0.60 0.49 0.00 1.00 | ARPS: 0.006 | ADR: 0.036 | F:μσmM 553.4 396.4 24.0 1000.0 | H 1.911 | V 0.022 | pL -0.005 | vL 0.006 | ∇ 0.025
U 18 | F 294912 | FPS 0443 | D 810 | rR:μσmM 0.44 0.50 0.00 1.00 | ARPS: 0.006 | ADR: 0.032 | F:μσmM 603.2 445.5 21.0 1000.0 | H 1.902 | V 0.026 | pL 0.007 | vL 0.004 | ∇ 0.021
U 19 | F 311296 | FPS 0444 | D 847 | rR:μσmM 0.62 0.48 0.00 1.00 | ARPS: 0.007 | ADR: 0.033 | F:μσmM 451.0 428.5 34.0 1000.0 | H 1.890 | V 0.031 | pL 0.001 | vL 0.006 | ∇ 0.027
U 20 | F 327680 | FPS 0448 | D 883 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.009 | ADR: 0.053 | F:μσmM 558.4 433.9 12.0 1000.0 | H 1.884 | V 0.027 | pL 0.002 | vL 0.006 | ∇ 0.026
U 21 | F 344064 | FPS 0454 | D 919 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.009 | ADR: 0.058 | F:μσmM 576.3 457.3 22.0 1000.0 | H 1.898 | V 0.021 | pL 0.002 | vL 0.004 | ∇ 0.022
U 22 | F 360448 | FPS 0444 | D 956 | rR:μσmM 0.40 0.49 0.00 1.00 | ARPS: 0.007 | ADR: 0.038 | F:μσmM 655.6 425.1 12.0 1000.0 | H 1.906 | V 0.016 | pL 0.003 | vL 0.003 | ∇ 0.019
U 23 | F 376832 | FPS 0456 | D 992 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.009 | ADR: 0.058 | F:μσmM 576.1 459.7 22.0 1000.0 | H 1.911 | V 0.019 | pL 0.001 | vL 0.004 | ∇ 0.019
U 24 | F 393216 | FPS 0471 | D 1027 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.009 | ADR: 0.060 | F:μσmM 579.3 467.1 28.0 1000.0 | H 1.908 | V 0.017 | pL -0.002 | vL 0.004 | ∇ 0.022
U 25 | F 409600 | FPS 0473 | D 1062 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.011 | ADR: 0.094 | F:μσmM 592.4 471.1 20.0 1000.0 | H 1.907 | V 0.020 | pL 0.003 | vL 0.004 | ∇ 0.021
