U 16 | F 262144 | FPS 0393 | D 800 | rR:μσmM 0.27 0.45 0.00 1.00 | ARPS: 0.001 | ADR: 0.000 | F:μσmM 822.7 312.8 132.0 1000.0 | H 1.916 | V 0.017 | pL 0.007 | vL 0.002 | ∇ 0.014
U 17 | F 278528 | FPS 0332 | D 849 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.003 | ADR: 0.007 | F:μσmM 679.4 377.8 51.0 1000.0 | H 1.925 | V 0.016 | pL -0.002 | vL 0.004 | ∇ 0.021
U 18 | F 294912 | FPS 0356 | D 895 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.001 | ADR: 0.001 | F:μσmM 799.3 330.3 115.0 1000.0 | H 1.923 | V 0.013 | pL 0.003 | vL 0.002 | ∇ 0.016
U 19 | F 311296 | FPS 0345 | D 943 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.002 | ADR: 0.001 | F:μσmM 684.7 348.2 129.0 1000.0 | H 1.917 | V 0.019 | pL -0.001 | vL 0.004 | ∇ 0.025
U 20 | F 327680 | FPS 0393 | D 984 | rR:μσmM 0.36 0.48 0.00 1.00 | ARPS: 0.002 | ADR: 0.003 | F:μσmM 704.5 394.2 81.0 1000.0 | H 1.909 | V 0.019 | pL 0.005 | vL 0.003 | ∇ 0.023
U 21 | F 344064 | FPS 0416 | D 1024 | rR:μσmM 0.55 0.50 0.00 1.00 | ARPS: 0.003 | ADR: 0.003 | F:μσmM 608.9 391.4 84.0 1000.0 | H 1.901 | V 0.017 | pL -0.002 | vL 0.004 | ∇ 0.022
U 22 | F 360448 | FPS 0426 | D 1062 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.005 | ADR: 0.033 | F:μσmM 750.4 383.9 19.0 1000.0 | H 1.915 | V 0.014 | pL 0.003 | vL 0.002 | ∇ 0.019
U 23 | F 376832 | FPS 0419 | D 1101 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.006 | ADR: 0.031 | F:μσmM 545.4 433.3 26.0 1000.0 | H 1.907 | V 0.021 | pL -0.003 | vL 0.005 | ∇ 0.026
U 24 | F 393216 | FPS 0428 | D 1140 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.007 | ADR: 0.035 | F:μσmM 561.3 441.9 24.0 1000.0 | H 1.903 | V 0.022 | pL -0.001 | vL 0.005 | ∇ 0.028
U 25 | F 409600 | FPS 0417 | D 1179 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.010 | ADR: 0.064 | F:μσmM 469.1 446.5 24.0 1000.0 | H 1.900 | V 0.036 | pL 0.002 | vL 0.007 | ∇ 0.029
U 26 | F 425984 | FPS 0439 | D 1216 | rR:μσmM 0.57 0.50 0.00 1.00 | ARPS: 0.008 | ADR: 0.045 | F:μσmM 490.4 447.3 22.0 1000.0 | H 1.899 | V 0.027 | pL 0.003 | vL 0.005 | ∇ 0.024
U 27 | F 442368 | FPS 0442 | D 1253 | rR:μσmM 0.57 0.49 0.00 1.00 | ARPS: 0.010 | ADR: 0.064 | F:μσmM 482.5 450.6 14.0 1000.0 | H 1.894 | V 0.028 | pL -0.001 | vL 0.006 | ∇ 0.026
U 28 | F 458752 | FPS 0441 | D 1290 | rR:μσmM 0.64 0.48 0.00 1.00 | ARPS: 0.012 | ADR: 0.076 | F:μσmM 401.4 448.7 23.0 1000.0 | H 1.882 | V 0.032 | pL -0.004 | vL 0.008 | ∇ 0.032
U 29 | F 475136 | FPS 0452 | D 1327 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.008 | ADR: 0.049 | F:μσmM 541.2 459.9 26.0 1000.0 | H 1.888 | V 0.019 | pL -0.002 | vL 0.005 | ∇ 0.024
U 30 | F 491520 | FPS 0463 | D 1362 | rR:μσmM 0.44 0.50 0.00 1.00 | ARPS: 0.008 | ADR: 0.054 | F:μσmM 585.1 464.3 32.0 1000.0 | H 1.898 | V 0.020 | pL 0.002 | vL 0.004 | ∇ 0.021
U 31 | F 507904 | FPS 0468 | D 1397 | rR:μσmM 0.46 0.50 0.00 1.00 | ARPS: 0.010 | ADR: 0.067 | F:μσmM 563.1 469.6 21.0 1000.0 | H 1.893 | V 0.020 | pL 0.001 | vL 0.004 | ∇ 0.023
U 32 | F 524288 | FPS 0455 | D 1433 | rR:μσmM 0.61 0.49 0.00 1.00 | ARPS: 0.012 | ADR: 0.087 | F:μσmM 432.2 459.3 23.0 1000.0 | H 1.894 | V 0.025 | pL -0.007 | vL 0.007 | ∇ 0.030
U 33 | F 540672 | FPS 0461 | D 1469 | rR:μσmM 0.59 0.49 0.00 1.00 | ARPS: 0.012 | ADR: 0.087 | F:μσmM 448.0 462.5 19.0 1000.0 | H 1.881 | V 0.025 | pL -0.002 | vL 0.006 | ∇ 0.030
U 34 | F 557056 | FPS 0466 | D 1504 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.014 | ADR: 0.105 | F:μσmM 512.2 473.8 17.0 1000.0 | H 1.891 | V 0.021 | pL -0.002 | vL 0.005 | ∇ 0.028
U 35 | F 573440 | FPS 0467 | D 1539 | rR:μσmM 0.36 0.48 0.00 1.00 | ARPS: 0.011 | ADR: 0.091 | F:μσmM 655.3 459.8 19.0 1000.0 | H 1.893 | V 0.016 | pL 0.003 | vL 0.003 | ∇ 0.022
U 36 | F 589824 | FPS 0463 | D 1574 | rR:μσmM 0.67 0.47 0.00 1.00 | ARPS: 0.018 | ADR: 0.141 | F:μσmM 358.1 447.0 18.0 1000.0 | H 1.887 | V 0.027 | pL -0.011 | vL 0.007 | ∇ 0.040
U 37 | F 606208 | FPS 0473 | D 1609 | rR:μσmM 0.45 0.50 0.00 1.00 | ARPS: 0.011 | ADR: 0.087 | F:μσmM 570.5 473.5 17.0 1000.0 | H 1.900 | V 0.021 | pL 0.002 | vL 0.003 | ∇ 0.029
U 38 | F 622592 | FPS 0478 | D 1643 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.018 | ADR: 0.161 | F:μσmM 531.7 484.8 19.0 1000.0 | H 1.893 | V 0.021 | pL 0.003 | vL 0.002 | ∇ 0.027
