update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,413.47825135972323,27,-0.37254901960784315,0.9066374918977956,-1.0,1.0,-0.10074811476901126,-0.21806978381247272,20.166666666666668,20.711881279685603,1.0,76.0,1.3815427720546722,-0.1366850957274437,0.022028442472219467,0.12831795774400234,0.22580233811823847,-0.37254901960784315,0.9066374918977956,-1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,20480,512.2544293498858,50,-0.31868131868131866,0.9361966647801699,-1.0,1.0,-0.08265986108193442,-0.18278445372917596,21.681318681318682,18.779740732963898,1.0,76.0,1.3686811178922653,-0.11691246926784515,-0.017914129712153226,0.12495198380202055,0.20144925862319218,-0.31868131868131866,0.9361966647801699,-1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
15,30720,345.423332868342,74,-0.35454545454545455,0.9203394989830816,-1.0,1.0,-0.12152469119594796,-0.2656973134644791,19.181818181818183,19.819266025388625,1.0,76.0,1.3314871191978455,-0.1445351792499423,-0.05244903941638768,0.12705101165920496,0.2371275472918703,-0.35454545454545455,0.9203394989830816,-1.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
20,40960,483.57409531830285,96,-0.34615384615384615,0.9174508032212743,-1.0,1.0,-0.09318629846617237,-0.21425470870523708,20.673076923076923,20.221105837757122,1.0,76.0,1.3667941689491272,-0.110714852809906,-0.008110847673378885,0.12129049841314554,0.17067340463642608,-0.34615384615384615,0.9174508032212743,-1.0,1.0
25,51200,370.47869541511227,120,-0.45689655172413796,0.8748619731460927,-1.0,1.0,-0.1018212310399527,-0.29262494867805455,18.07758620689655,18.771379012626426,1.0,76.0,1.3346745818853378,-0.1764792501926422,-0.01171595009509474,0.14049652963876724,0.2795299220020411,-0.45689655172413796,0.8748619731460927,-1.0,1.0
30,61440,415.2833456331947,145,-0.3793103448275862,0.9000814689862938,-1.0,1.0,-0.05701316316320994,-0.1928710667115125,23.67816091954023,21.454841241774243,1.0,76.0,1.325122281908989,-0.13411071430891752,-0.010539071052335203,0.11717563588172197,0.187756603647581,-0.3793103448275862,0.9000814689862938,-1.0,1.0
35,71680,470.8278072033695,168,-0.2962962962962963,0.9222147850362024,-1.0,1.0,-0.06009217798625748,-0.12623110932107273,24.40740740740741,20.627069460130095,1.0,76.0,1.2751465141773224,-0.10380548052489758,-0.012853343796450645,0.10464534815400839,0.3927256745572009,-0.2962962962962963,0.9222147850362024,-1.0,1.0
40,81920,421.11872005603715,190,-0.20481927710843373,0.9282583269522034,-1.0,1.0,-0.04111609394592446,-0.14741099855993853,27.313253012048193,23.702944614410598,1.0,76.0,1.1576559096574783,-0.03706439887173474,-0.004864089947659522,0.11046046111732721,0.4937235531299901,-0.20481927710843373,0.9282583269522034,-1.0,1.0
45,92160,519.1102052162814,211,-0.1276595744680851,0.8408967168242342,-1.0,1.0,-0.0518733293308226,-0.13527828349250287,41.212765957446805,29.269791391367317,1.0,76.0,1.1283116042613983,0.004473529930692166,-0.003530236310325563,0.05056245578452945,0.2577364336884208,-0.1276595744680851,0.8408967168242342,-1.0,1.0
50,102400,596.569221099682,232,0.15789473684210525,0.8743814592545343,-1.0,1.0,0.025625666570660115,0.01445146644921638,37.21052631578947,27.546921273580036,1.0,76.0,1.1294783353805542,0.0714048920199275,-0.01323107244388666,0.051227451767772436,0.3200313876000541,0.15789473684210525,0.8743814592545343,-1.0,1.0
55,112640,466.12580424271044,253,0.07272727272727272,0.8496961051307582,-1.0,1.0,-0.012711183042306553,-0.03857145906073117,41.07272727272727,28.0796623558142,3.0,76.0,1.108416736125946,0.048840697621926665,-0.008524499964551069,0.05650077620521188,0.260831937519967,0.07272727272727272,0.8496961051307582,-1.0,1.0
60,122880,458.28664004244655,275,0.2708333333333333,0.8351542605344768,-1.0,1.0,0.01799373772821448,0.06861031601439631,43.708333333333336,24.83022212054406,4.0,76.0,1.0686990022659302,0.06531396321952343,-0.020172766700852662,0.044596230145543814,0.25221892970451115,0.2708333333333333,0.8351542605344768,-1.0,1.0
65,133120,380.15305335150174,298,0.1875,0.8454843286542927,-1.0,1.0,-0.004416579230228699,0.06741359492020983,35.421875,29.25790741807033,1.0,76.0,1.034089595079422,0.06894438387826085,-0.0015088439104147255,0.058383685536682606,0.339400264315741,0.1875,0.8454843286542927,-1.0,1.0
70,143360,476.89594184556694,321,0.15517241379310345,0.8670545490124247,-1.0,1.0,0.07198358523450342,0.13293839938990187,31.810344827586206,26.637060581693657,1.0,76.0,1.0020770207047462,0.06628104764968157,0.04271070030517876,0.05587235325947404,0.302051461445279,0.15517241379310345,0.8670545490124247,-1.0,1.0
75,153600,475.3071933781845,343,0.20967741935483872,0.8639201123123923,-1.0,1.0,-0.016900881369007994,0.0492087017816928,31.774193548387096,28.41933653106217,1.0,76.0,1.0145653635263443,0.09299700800329447,0.012149654561653733,0.05373065173625946,0.41406133583533167,0.20967741935483872,0.8639201123123923,-1.0,1.0
