10,163840,287.0292740386707,612,0.375,0.4841229182759271,0.0,1.0,0.0019379890702217748,0.001938231879444445,736.7916666666666,369.7575758933893,79.0,1000.0,1.922462034970522,0.011009389323589858,-0.0017241215966805612,0.0030130920522424276,0.021698491352755762,0.375,0.4841229182759271,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
11,180224,273.62133925047965,671,0.4090909090909091,0.4916660830178166,0.0,1.0,0.002279234033772448,0.004271019848773239,749.6818181818181,354.9644523000779,80.0,1000.0,1.9246135372668505,0.011876167332957266,-0.0017735014118898107,0.003041325065851197,0.02536647429249046,0.4090909090909091,0.4916660830178166,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
12,196608,278.35478986054335,730,0.5909090909090909,0.49166608301781667,0.0,1.0,0.0024322758318811692,0.0015698227512002275,614.4545454545455,355.7143551774919,95.0,1000.0,1.9161620549857616,0.013539266907173442,-0.005307296682985907,0.0038511361035489244,0.03058411130899255,0.5909090909090909,0.49166608301781667,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
13,212992,299.10827985422713,785,0.48,0.4995998398718719,0.0,1.0,0.0029540542471132793,0.005914178868500307,667.76,381.4292364253165,59.0,1000.0,1.8982107769697905,0.020101869726204313,0.0008889516248018481,0.004135930822485534,0.03038982598131648,0.48,0.4995998398718719,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
14,229376,297.72372894860695,840,0.34782608695652173,0.476280484787101,0.0,1.0,0.0030431613546909307,0.012226686857871828,721.6086956521739,390.803268546969,35.0,1000.0,1.9093795418739319,0.011192527072125813,-0.001115077277063392,0.002782964842481306,0.020944023901330266,0.34782608695652173,0.476280484787101,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
15,245760,268.13754471370027,901,0.5185185185185185,0.4996569467863719,0.0,1.0,0.0028382210650483766,0.007416008460466722,650.2962962962963,370.3698666663241,45.0,1000.0,1.914317850023508,0.015435067223734222,-0.005478981271153316,0.004597051954988274,0.02653453278040965,0.5185185185185185,0.4996569467863719,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
16,262144,278.4015315636311,960,0.6,0.48989794855663565,0.0,1.0,0.00204339295584588,0.00031271840029683975,638.6,334.92458852702947,138.0,1000.0,1.913788203150034,0.02086595623404719,-0.0020050703851666185,0.0047764558185008354,0.02844452256016104,0.6,0.48989794855663565,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
17,278528,293.018696807502,1016,0.6,0.48989794855663565,0.0,1.0,0.00441069701374284,0.017281783533996887,562.0333333333333,389.68718081159517,30.0,1000.0,1.9056558925658464,0.022133359118015505,-0.005192182909468102,0.005565694867982529,0.03427338239778621,0.6,0.48989794855663565,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
18,294912,328.9846551235068,1066,0.65625,0.47495887979908324,0.0,1.0,0.0047948239845226025,0.012571368164984154,488.46875,391.50758169342964,47.0,1000.0,1.88678296841681,0.03674617869546637,0.004739063354463724,0.006481453438027529,0.03352714014891131,0.65625,0.47495887979908324,0.0,1.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,average_reward_per_step,average_discounted_return,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
