U 18 | F 294912 | FPS 0400 | D 882 | rR:μσmM 0.53 0.50 0.00 1.00 | ARPS: 0.004 | ADR: 0.008 | F:μσmM 562.8 417.8 63.0 1000.0 | H 1.878 | V 0.022 | pL -0.003 | vL 0.006 | ∇ 0.027
U 19 | F 311296 | FPS 0405 | D 923 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.005 | ADR: 0.024 | F:μσmM 575.4 429.1 26.0 1000.0 | H 1.881 | V 0.018 | pL -0.003 | vL 0.005 | ∇ 0.021
U 20 | F 327680 | FPS 0423 | D 961 | rR:μσmM 0.44 0.50 0.00 1.00 | ARPS: 0.007 | ADR: 0.043 | F:μσmM 614.6 436.3 24.0 1000.0 | H 1.899 | V 0.019 | pL 0.001 | vL 0.004 | ∇ 0.021
U 21 | F 344064 | FPS 0452 | D 998 | rR:μσmM 0.57 0.49 0.00 1.00 | ARPS: 0.008 | ADR: 0.041 | F:μσmM 486.6 446.8 28.0 1000.0 | H 1.893 | V 0.024 | pL 0.001 | vL 0.005 | ∇ 0.023
U 22 | F 360448 | FPS 0447 | D 1034 | rR:μσmM 0.52 0.50 0.00 1.00 | ARPS: 0.010 | ADR: 0.067 | F:μσmM 519.1 466.2 23.0 1000.0 | H 1.886 | V 0.022 | pL -0.000 | vL 0.005 | ∇ 0.022
U 23 | F 376832 | FPS 0467 | D 1069 | rR:μσmM 0.23 0.42 0.00 1.00 | ARPS: 0.005 | ADR: 0.039 | F:μσmM 790.2 387.7 24.0 1000.0 | H 1.911 | V 0.013 | pL 0.006 | vL 0.002 | ∇ 0.012
U 24 | F 393216 | FPS 0450 | D 1106 | rR:μσmM 0.57 0.49 0.00 1.00 | ARPS: 0.011 | ADR: 0.071 | F:μσmM 471.5 459.0 18.0 1000.0 | H 1.896 | V 0.022 | pL -0.006 | vL 0.006 | ∇ 0.027
U 25 | F 409600 | FPS 0441 | D 1143 | rR:μσmM 0.58 0.49 0.00 1.00 | ARPS: 0.015 | ADR: 0.117 | F:μσmM 462.6 460.7 16.0 1000.0 | H 1.890 | V 0.027 | pL -0.004 | vL 0.007 | ∇ 0.030
U 26 | F 425984 | FPS 0450 | D 1179 | rR:μσmM 0.57 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.149 | F:μσmM 462.6 470.5 19.0 1000.0 | H 1.887 | V 0.024 | pL -0.004 | vL 0.006 | ∇ 0.027
U 27 | F 442368 | FPS 0458 | D 1215 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.134 | F:μσmM 474.1 471.5 15.0 1000.0 | H 1.879 | V 0.027 | pL -0.001 | vL 0.006 | ∇ 0.034
U 28 | F 458752 | FPS 0467 | D 1250 | rR:μσmM 0.56 0.50 0.00 1.00 | ARPS: 0.013 | ADR: 0.100 | F:μσmM 468.6 472.3 19.0 1000.0 | H 1.889 | V 0.027 | pL 0.001 | vL 0.006 | ∇ 0.033
U 29 | F 475136 | FPS 0468 | D 1285 | rR:μσmM 0.54 0.50 0.00 1.00 | ARPS: 0.017 | ADR: 0.138 | F:μσmM 482.1 475.8 15.0 1000.0 | H 1.883 | V 0.023 | pL -0.000 | vL 0.004 | ∇ 0.034
U 30 | F 491520 | FPS 0469 | D 1320 | rR:μσmM 0.63 0.48 0.00 1.00 | ARPS: 0.018 | ADR: 0.144 | F:μσmM 393.7 460.8 20.0 1000.0 | H 1.889 | V 0.026 | pL -0.007 | vL 0.005 | ∇ 0.043
U 31 | F 507904 | FPS 0473 | D 1355 | rR:μσmM 0.43 0.49 0.00 1.00 | ARPS: 0.013 | ADR: 0.110 | F:μσmM 587.3 476.6 17.0 1000.0 | H 1.907 | V 0.021 | pL 0.005 | vL 0.002 | ∇ 0.027
U 32 | F 524288 | FPS 0478 | D 1389 | rR:μσmM 0.30 0.46 0.00 1.00 | ARPS: 0.008 | ADR: 0.069 | F:μσmM 709.2 439.9 23.0 1000.0 | H 1.919 | V 0.012 | pL 0.004 | vL 0.001 | ∇ 0.021
U 33 | F 540672 | FPS 0471 | D 1424 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.012 | ADR: 0.082 | F:μσmM 545.5 469.1 13.0 1000.0 | H 1.914 | V 0.018 | pL -0.001 | vL 0.002 | ∇ 0.035
U 34 | F 557056 | FPS 0475 | D 1458 | rR:μσmM 0.33 0.47 0.00 1.00 | ARPS: 0.008 | ADR: 0.057 | F:μσmM 682.2 449.4 30.0 1000.0 | H 1.922 | V 0.013 | pL 0.002 | vL 0.001 | ∇ 0.025
U 35 | F 573440 | FPS 0459 | D 1494 | rR:μσmM 0.48 0.50 0.00 1.00 | ARPS: 0.016 | ADR: 0.123 | F:μσmM 544.2 472.6 13.0 1000.0 | H 1.920 | V 0.013 | pL -0.003 | vL 0.002 | ∇ 0.029
U 36 | F 589824 | FPS 0461 | D 1530 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.011 | ADR: 0.078 | F:μσmM 539.6 462.6 13.0 1000.0 | H 1.920 | V 0.015 | pL -0.005 | vL 0.002 | ∇ 0.029
U 37 | F 606208 | FPS 0468 | D 1565 | rR:μσmM 0.50 0.50 0.00 1.00 | ARPS: 0.014 | ADR: 0.113 | F:μσmM 532.1 469.6 15.0 1000.0 | H 1.919 | V 0.018 | pL -0.002 | vL 0.003 | ∇ 0.037
